## Level: 0
0 0 0; [1,0]
-181.0 1694.0 0; [59,0]
## Level: 59
-183.0 1720.0 0; [60,0]
## Level: 60
-185.0 1745.0 0; [61,0] [61,1]
## Level: 61
-205.0 1748.0 0; [62,0]
-172.0 1780.0 0; [62,1]
## Level: 62
-217.0 1754.0 0;
-166.0 1805.0 0; [63,0]
## Level: 63
-160.0 1840.0 0; [64,0]
## Level: 64
-162.0 1875.0 0; [65,0]
## Level: 65
-170.0 1910.0 0; [66,0] [66,1]
## Level: 66
-187.0 1918.0 0;
-164.0 1937.0 0; [67,0]
## Level: 67
-157.0 1962.0 0; [68,0]
## Level: 68
-146.0 1986.0 0; [69,0]
## Level: 69
-140.0 2017.0 0; [70,0]
## Level: 70
-139.0 2046.0 0; [71,0]
## Level: 71
-142.0 2077.0 0; [72,0]
## Level: 72
-138.0 2108.0 0; [73,0]
## Level: 73
-132.0 2139.0 0; [74,0]
## Level: 74
-140.0 2170.0 0; [75,0]
## Level: 75
-141.0 2206.0 0; [76,0]
## Level: 76
-146.0 2244.0 0; [77,0]
## Level: 77
-154.0 2273.0 0; [78,0]
## Level: 78
-175.0 2303.0 0; [79,0]
## Level: 79
-187.0 2326.0 0; [80,0]
## Level: 80
-204.0 2359.0 0; [81,0]
## Level: 81
-216.0 2388.0 0; [82,0]
## Level: 82
-216.0 2414.0 0; [83,0]
## Level: 83
-224.0 2450.0 0; [84,0]
## Level: 84
-236.0 2489.0 0; [85,0]
## Level: 85
-248.0 2527.0 0; [86,0]
## Level: 86
-257.0 2567.0 0; [87,0]
## Level: 87
-267.0 2591.0 0; [88,0]
## Level: 88
-282.0 2619.0 0; [89,0]
## Level: 89
-285.0 2646.0 0; [90,0]
## Level: 90
-283.0 2676.0 0; [91,0]
## Level: 91
-277.0 2698.0 0; [92,0]
## Level: 92
-271.0 2724.0 0; [93,0]
## Level: 93
-250.0 2755.0 0; [94,0]
## Level: 94
-238.0 2776.0 0; [95,0]
## Level: 95
-226.0 2809.0 0; [96,0]
## Level: 96
-224.0 2838.0 0; [97,0]
## Level: 97
-227.0 2869.0 0; [98,0]
## Level: 98
-233.0 2907.0 0; [99,0]
## Level: 99
-240.0 2944.0 0; [100,0]
## Level: 100
-245.0 2984.0 0; [101,0]
## Level: 101
-249.0 3032.0 0; [102,0]
## Level: 102
-251.0 3062.0 0; [103,0]
## Level: 103
-251.0 3099.0 0; [104,0]
## Level: 104
-254.0 3129.0 0; [105,0]
## Level: 105
-262.0 3154.0 0; [106,0]
## Level: 106
-278.0 3182.0 0; [107,0]
## Level: 107
-288.0 3223.0 0;
